"exp";"alg";"sco";"best";"iter";"mean";"median";"sd"
"9";"tabu";"aic";"0.000159281526174837";"100";"0.18";"0";"0.54"
"9";"tabu";"bic";"1.15915823259982e-05";"100";"0.18";"0";"0.55"
"9";"tabu";"bds";"0.00788682804287388";"100";"0.18";"0.01";"0.52"
"10";"hc";"k2";"0.097595093580884";"100";"0.26";"0.1";"0.51"
"10";"hc";"aic";"0.00192721406678853";"100";"0.18";"0";"0.55"
"10";"hc";"bic";"0.0026907845334958";"100";"0.18";"0";"0.54"
"10";"hc";"bds";"0.0451737360190174";"100";"0.22";"0.05";"0.53"
"10";"tabu";"k2";"0.0261949940418373";"100";"0.2";"0.03";"0.54"
"10";"tabu";"aic";"0.0220941618813324";"100";"0.19";"0.02";"0.53"
"10";"tabu";"bic";"7.47883090017609e-05";"100";"0.17";"0";"0.52"
"10";"tabu";"bds";"0.058014931680312";"100";"0.22";"0.06";"0.5"
"11";"hc";"k2";"0.0621526124259901";"100";"0.23";"0.06";"0.52"
"11";"hc";"aic";"0.0161794962483928";"100";"0.19";"0.02";"0.53"
"11";"hc";"bic";"-1.58474663614072e-06";"100";"0.17";"0";"0.53"
"11";"hc";"bds";"0.220419926474938";"100";"0.37";"0.22";"0.45"
"11";"tabu";"k2";"0.0874965218373038";"100";"0.25";"0.09";"0.5"
"11";"tabu";"aic";"0.0293312662783556";"100";"0.21";"0.03";"0.56"
"11";"tabu";"bic";"6.86316472633397e-05";"100";"0.18";"0";"0.55"
"11";"tabu";"bds";"0.224625082752449";"100";"0.38";"0.22";"0.46"
"12";"hc";"k2";"0.00193670298983584";"100";"0.18";"0";"0.54"
"12";"hc";"aic";"0.0143133457265465";"100";"0.21";"0.03";"0.53"
"12";"hc";"bic";"0.0292711272297237";"100";"0.21";"0.03";"0.55"
"12";"hc";"bds";"0.25937248173917";"100";"0.41";"0.26";"0.46"
"12";"tabu";"k2";"0.086774064589596";"100";"0.25";"0.09";"0.5"
"12";"tabu";"aic";"0.0189760247473965";"100";"0.19";"0.02";"0.53"
"12";"tabu";"bic";"0.000269706710666728";"100";"0.18";"0";"0.53"
"12";"tabu";"bds";"0.00429780832057913";"100";"0.19";"0";"0.57"
"13";"hc";"k2";"0.0115306117875478";"100";"0.19";"0.01";"0.53"
"13";"hc";"aic";"0.0179896386057101";"100";"0.19";"0.02";"0.54"
"13";"hc";"bic";"0.000328225794004045";"100";"0.17";"0";"0.52"
"13";"hc";"bds";"0.0485316222036969";"100";"0.22";"0.05";"0.52"
"13";"tabu";"k2";"0.00497544553458629";"100";"0.18";"0";"0.55"
"13";"tabu";"aic";"0.000560119934747583";"100";"0.18";"0";"0.54"
"13";"tabu";"bic";"0.000685931937843609";"100";"0.18";"0";"0.56"
"13";"tabu";"bds";"0.0187875770007766";"100";"0.2";"0.02";"0.54"
"14";"hc";"k2";"0.150167494957606";"100";"0.32";"0.15";"0.52"
"14";"hc";"aic";"0.0402058638114537";"100";"0.21";"0.04";"0.51"
"14";"hc";"bic";"1.77482440646415e-05";"100";"0.17";"0";"0.53"
"14";"hc";"bds";"0.268177560476548";"100";"0.42";"0.27";"0.46"
"14";"tabu";"k2";"0.0176182219834609";"100";"0.19";"0.02";"0.54"
"14";"tabu";"aic";"0.0126470263178944";"100";"0.19";"0.01";"0.54"
"14";"tabu";"bic";"8.12223220170161e-05";"100";"0.17";"0";"0.53"
"14";"tabu";"bds";"0.0429752244947665";"100";"0.21";"0.04";"0.52"
"15";"hc";"k2";"0.0116836549322425";"100";"0.18";"0.01";"0.52"
"15";"hc";"aic";"0.000206840272408026";"100";"0.18";"0";"0.54"
"15";"hc";"bic";"1.77482440646415e-05";"100";"0.19";"0";"0.57"
"15";"hc";"bds";"0.042748744036015";"100";"0.22";"0.04";"0.54"
"15";"tabu";"k2";"0.00436489209341628";"100";"0.18";"0";"0.52"
"15";"tabu";"aic";"0.0258242888155999";"100";"0.2";"0.03";"0.54"
"15";"tabu";"bic";"0.00100991567070463";"100";"0.17";"0";"0.53"
"15";"tabu";"bds";"0.0113251819237385";"100";"0.18";"0.01";"0.52"
