"exp";"alg";"sco";"best";"iter";"mean";"median";"sd"
"11";"hc";"bic";"5";"17";"4.38";"4.5";"0.64"
"11";"hc";"bds";"5";"15";"4.04";"4.2";"0.57"
"11";"tabu";"k2";"5";"19";"4.48";"4.7";"0.67"
"11";"tabu";"aic";"5";"20";"4.53";"4.7";"0.71"
"11";"tabu";"bic";"5";"16";"4.4";"4.6";"0.62"
"11";"tabu";"bds";"5";"19";"4.35";"4.5";"0.66"
"12";"hc";"k2";"5";"21";"4.08";"4.3";"0.54"
"12";"hc";"aic";"5";"18";"4.43";"4.6";"0.68"
"12";"hc";"bic";"5";"17";"4.39";"4.6";"0.64"
"12";"hc";"bds";"5";"19";"4.25";"4.4";"0.62"
"12";"tabu";"k2";"5";"25";"4.21";"4.4";"0.59"
"12";"tabu";"aic";"5";"21";"4.59";"4.8";"0.71"
"12";"tabu";"bic";"5";"30";"4.65";"4.9";"0.76"
"12";"tabu";"bds";"5";"21";"4.19";"4.3";"0.61"
"13";"hc";"k2";"5";"24";"4.37";"4.4";"0.69"
"13";"hc";"aic";"5";"21";"4.54";"4.7";"0.7"
"13";"hc";"bic";"5";"15";"4.31";"4.5";"0.63"
"13";"hc";"bds";"5";"18";"4.24";"4.4";"0.63"
"13";"tabu";"k2";"5";"21";"4.43";"4.7";"0.66"
"13";"tabu";"aic";"5";"19";"4.55";"4.8";"0.7"
"13";"tabu";"bic";"5";"17";"4.4";"4.6";"0.66"
"13";"tabu";"bds";"5";"21";"4.45";"4.6";"0.66"
"14";"hc";"k2";"5";"29";"4.39";"4.6";"0.64"
"14";"hc";"aic";"5";"24";"4.63";"4.9";"0.72"
"14";"hc";"bic";"5";"18";"4.41";"4.6";"0.66"
"14";"hc";"bds";"5";"23";"4.27";"4.4";"0.62"
"14";"tabu";"k2";"5";"21";"4.39";"4.6";"0.63"
"14";"tabu";"aic";"5";"20";"4.54";"4.8";"0.69"
"14";"tabu";"bic";"5";"15";"4.3";"4.45";"0.64"
"14";"tabu";"bds";"5";"19";"4.32";"4.5";"0.63"
"15";"hc";"k2";"5";"19";"4.12";"4.1";"0.6"
"15";"hc";"aic";"5";"26";"4.66";"4.9";"0.72"
"15";"hc";"bic";"5";"15";"4.4";"4.6";"0.65"
"15";"hc";"bds";"5";"17";"4.19";"4.3";"0.64"
"15";"tabu";"k2";"5";"26";"4.46";"4.7";"0.66"
"15";"tabu";"aic";"5";"21";"4.57";"4.8";"0.69"
"15";"tabu";"bic";"5";"13";"4.14";"4.3";"0.6"
"15";"tabu";"bds";"5";"17";"4.08";"4.2";"0.57"
"16";"hc";"k2";"5";"37";"4.49";"4.7";"0.65"
"16";"hc";"aic";"5";"15";"4.16";"4.3";"0.62"
"16";"hc";"bic";"5";"17";"4.37";"4.5";"0.61"
"16";"hc";"bds";"5";"21";"4.25";"4.4";"0.65"
"16";"tabu";"k2";"5";"29";"4.66";"4.9";"0.72"
"16";"tabu";"aic";"5";"23";"4.55";"4.7";"0.69"
"16";"tabu";"bic";"5";"15";"4.25";"4.4";"0.6"
"16";"tabu";"bds";"5";"19";"4.25";"4.4";"0.65"
"17";"hc";"k2";"5";"19";"4.29";"4.5";"0.62"
"17";"hc";"aic";"5";"19";"4.49";"4.7";"0.67"
"17";"hc";"bic";"5";"17";"4.38";"4.5";"0.63"
"17";"hc";"bds";"5";"20";"4.33";"4.5";"0.62"
"17";"tabu";"k2";"5";"21";"4.49";"4.7";"0.65"
"17";"tabu";"aic";"5";"26";"4.66";"4.9";"0.74"
"17";"tabu";"bic";"5";"17";"4.34";"4.5";"0.63"
"17";"tabu";"bds";"5";"19";"4.29";"4.5";"0.61"
"18";"hc";"k2";"5";"18";"3.89";"4.1";"0.5"
"18";"hc";"aic";"5";"23";"4.58";"4.8";"0.73"
"18";"hc";"bic";"5";"15";"4.3";"4.4";"0.62"
"18";"hc";"bds";"5";"20";"4.4";"4.6";"0.67"
"18";"tabu";"k2";"5";"29";"4.37";"4.5";"0.64"
"18";"tabu";"aic";"5";"25";"4.61";"4.8";"0.72"
"18";"tabu";"bic";"5";"14";"4.21";"4.4";"0.66"
"18";"tabu";"bds";"5";"27";"4.65";"4.9";"0.69"
"19";"hc";"k2";"5";"20";"4.31";"4.5";"0.6"
"19";"hc";"aic";"5";"16";"4.31";"4.5";"0.61"
"19";"hc";"bic";"5";"16";"4.44";"4.6";"0.64"
"19";"hc";"bds";"5";"21";"4.27";"4.4";"0.65"
"19";"tabu";"k2";"5";"19";"4.08";"4.2";"0.55"
"19";"tabu";"aic";"5";"20";"4.5";"4.7";"0.69"
"19";"tabu";"bic";"5";"14";"4.22";"4.4";"0.62"
"19";"tabu";"bds";"5";"22";"4.42";"4.6";"0.67"
"20";"hc";"k2";"5";"28";"4.36";"4.5";"0.63"
"20";"hc";"aic";"5";"17";"4.38";"4.6";"0.68"
"20";"hc";"bic";"5";"15";"4.39";"4.5";"0.63"
"20";"hc";"bds";"5";"23";"4.48";"4.7";"0.66"
"20";"tabu";"k2";"5";"20";"4.29";"4.5";"0.63"
"20";"tabu";"aic";"5";"27";"4.66";"4.9";"0.74"
"20";"tabu";"bic";"5";"15";"4.36";"4.5";"0.66"
"20";"tabu";"bds";"5";"22";"4.44";"4.6";"0.68"
