"mean";"median";"sd";"best";"worst";"score"
2.71;2.7;0.31;3.7;1.9;NA
2.86;2.8;0.31;3.8;1.8;NA
2.98;3;0.32;4;1.4;NA
3.07;3.1;0.32;4.1;1.7;NA
3.15;3.2;0.35;4.1;1.7;NA
3.24;3.2;0.35;4.1;1.7;NA
3.32;3.3;0.37;4.3;1.9;NA
3.41;3.4;0.39;4.3;1.9;NA
3.48;3.5;0.43;4.3;1.9;NA
3.56;3.6;0.43;4.3;1.8;NA
3.63;3.7;0.45;4.5;1.4;NA
3.7;3.8;0.44;4.5;2.1;NA
3.77;3.8;0.48;4.6;1.6;NA
3.85;3.9;0.52;4.6;1.3;NA
3.93;4;0.53;4.7;1.7;NA
4.01;4.1;0.58;4.8;1.6;NA
4.09;4.2;0.57;4.9;1.6;NA
4.16;4.3;0.59;4.9;1.7;NA
4.24;4.4;0.62;4.9;1.7;NA
4.33;4.5;0.62;5;1.9;NA
