"exp";"alg";"sco";"best";"iter";"mean";"median";"sd"
"11";"hc";"bic";"5";"50";"4.9";"4.98";"0.27"
"11";"hc";"bds";"5";"82";"4.82";"4.88";"0.26"
"11";"tabu";"k2";"5";"3";"4.44";"4.48";"0.16"
"11";"tabu";"aic";"5";"44";"4.67";"4.72";"0.18"
"11";"tabu";"bic";"5";"65";"4.9";"4.99";"0.29"
"11";"tabu";"bds";"5";"109";"4.69";"4.76";"0.23"
"12";"hc";"k2";"5";"11";"4.68";"4.76";"0.23"
"12";"hc";"aic";"5";"26";"4.7";"4.76";"0.23"
"12";"hc";"bic";"5";"56";"4.89";"4.97";"0.26"
"12";"hc";"bds";"5";"92";"4.74";"4.77";"0.24"
"12";"tabu";"k2";"5";"10";"4.55";"4.59";"0.21"
"12";"tabu";"aic";"5";"22";"4.69";"4.76";"0.26"
"12";"tabu";"bic";"5";"51";"4.73";"4.79";"0.21"
"12";"tabu";"bds";"5";"106";"4.89";"4.97";"0.26"
"13";"hc";"k2";"5";"15";"4.62";"4.59";"0.23"
"13";"hc";"aic";"5";"35";"4.72";"4.77";"0.27"
"13";"hc";"bic";"5";"58";"4.91";"4.99";"0.26"
"13";"hc";"bds";"5";"94";"4.71";"4.78";"0.24"
"13";"tabu";"k2";"5";"25";"4.87";"4.97";"0.31"
"13";"tabu";"aic";"5";"36";"4.73";"4.78";"0.22"
"13";"tabu";"bic";"5";"75";"4.88";"4.97";"0.29"
"13";"tabu";"bds";"5";"69";"4.72";"4.79";"0.22"
"14";"hc";"k2";"5";"16";"4.59";"4.59";"0.19"
"14";"hc";"aic";"5";"29";"4.73";"4.79";"0.22"
"14";"hc";"bic";"5";"54";"4.73";"4.8";"0.24"
"14";"hc";"bds";"5";"88";"4.72";"4.78";"0.22"
"14";"tabu";"k2";"5";"18";"4.75";"4.76";"0.24"
"14";"tabu";"aic";"5";"30";"4.72";"4.79";"0.25"
"14";"tabu";"bic";"4.7991";"300";"4.73";"4.8";"0.23"
"14";"tabu";"bds";"5";"65";"4.67";"4.73";"0.22"
"15";"hc";"k2";"5";"15";"4.71";"4.76";"0.19"
"15";"hc";"aic";"5";"37";"4.73";"4.79";"0.2"
"15";"hc";"bic";"5";"50";"4.85";"4.99";"0.29"
"15";"hc";"bds";"5";"121";"4.75";"4.8";"0.24"
"15";"tabu";"k2";"5";"10";"4.57";"4.59";"0.2"
"15";"tabu";"aic";"5";"25";"4.71";"4.77";"0.27"
"15";"tabu";"bic";"5";"57";"4.85";"4.98";"0.28"
"15";"tabu";"bds";"5";"90";"4.73";"4.8";"0.23"
"16";"hc";"k2";"5";"21";"4.57";"4.61";"0.2"
"16";"hc";"aic";"5";"51";"4.88";"4.97";"0.29"
"16";"hc";"bic";"4.9991";"300";"4.92";"5";"0.27"
"16";"hc";"bds";"5";"139";"4.74";"4.8";"0.3"
"16";"tabu";"k2";"5";"14";"4.56";"4.61";"0.2"
"16";"tabu";"aic";"5";"29";"4.63";"4.69";"0.2"
"16";"tabu";"bic";"5";"63";"4.73";"4.8";"0.22"
"16";"tabu";"bds";"5";"132";"4.73";"4.8";"0.25"
"17";"hc";"k2";"5";"12";"4.66";"4.73";"0.21"
"17";"hc";"aic";"5";"41";"4.72";"4.78";"0.22"
"17";"hc";"bic";"5";"112";"4.89";"4.98";"0.28"
"17";"hc";"bds";"5";"83";"4.63";"4.6";"0.21"
"17";"tabu";"k2";"5";"16";"4.67";"4.73";"0.19"
"17";"tabu";"aic";"5";"21";"4.69";"4.76";"0.23"
"17";"tabu";"bic";"5";"63";"4.73";"4.8";"0.25"
"17";"tabu";"bds";"5";"108";"4.74";"4.8";"0.23"
