"exp";"alg";"sco";"best";"iter";"mean";"median";"sd"
"9";"tabu";"k2";"1.90358882772301e-05";"100";"0.04";"0";"0.15"
"9";"tabu";"aic";"1.13215981811798e-07";"100";"0.04";"0";"0.17"
"9";"tabu";"bic";"1.62559996019773e-08";"100";"0.04";"0";"0.17"
"9";"tabu";"bds";"3.76529462579045e-05";"100";"0.03";"0";"0.15"
"10";"hc";"k2";"3.27900859831143e-06";"100";"0.03";"0";"0.14"
"10";"hc";"aic";"1.74381953294001e-06";"100";"0.03";"0";"0.15"
"10";"hc";"bic";"8.75609891259899e-08";"100";"0.04";"0";"0.16"
"10";"hc";"bds";"1.71224959155669e-07";"100";"0.04";"0";"0.15"
"10";"tabu";"k2";"2.44024913276242e-07";"100";"0.04";"0";"0.16"
"10";"tabu";"aic";"1.32574184186218e-06";"100";"0.03";"0";"0.15"
"10";"tabu";"bic";"4.81960652110036e-07";"100";"0.03";"0";"0.15"
"10";"tabu";"bds";"4.78596541847454e-06";"100";"0.04";"0";"0.17"
"11";"hc";"k2";"1.22452357472769e-05";"100";"0.04";"0";"0.16"
"11";"hc";"aic";"1.39808698768062e-06";"100";"0.03";"0";"0.14"
"11";"hc";"bic";"2.14735935366583e-07";"100";"0.03";"0";"0.15"
"11";"hc";"bds";"3.88742021776856e-05";"100";"0.03";"0";"0.16"
"11";"tabu";"k2";"3.74239076234018e-06";"100";"0.03";"0";"0.13"
"11";"tabu";"aic";"5.60200622723439e-07";"100";"0.04";"0";"0.16"
"11";"tabu";"bic";"1.00100006061865e-09";"100";"0.04";"0";"0.18"
"11";"tabu";"bds";"4.0470850958263e-06";"100";"0.03";"0";"0.14"
"12";"hc";"k2";"2.10307105549812e-05";"100";"0.04";"0";"0.17"
"12";"hc";"aic";"1.99999994343614e-09";"100";"0.04";"0";"0.16"
"12";"hc";"bic";"0";"100";"0.04";"0";"0.16"
"12";"hc";"bds";"6.77211772692754e-06";"100";"0.03";"0";"0.15"
"12";"tabu";"k2";"2.87725345249346e-06";"100";"0.04";"0";"0.16"
"12";"tabu";"aic";"2.22688929629733e-07";"100";"0.03";"0";"0.13"
"12";"tabu";"bic";"4.01600003252511e-09";"100";"0.04";"0";"0.15"
"12";"tabu";"bds";"8.5952795664257e-07";"100";"0.04";"0";"0.17"
"13";"hc";"k2";"9.16398876060764e-07";"100";"0.05";"0";"0.18"
"13";"hc";"aic";"2.74509285596025e-05";"100";"0.03";"0";"0.15"
"13";"hc";"bic";"2.65759989015457e-08";"100";"0.03";"0";"0.15"
"13";"hc";"bds";"4.71437570609412e-06";"100";"0.04";"0";"0.16"
"13";"tabu";"k2";"2.68345389764502e-05";"100";"0.04";"0";"0.17"
"13";"tabu";"aic";"6.95122502419876e-06";"100";"0.04";"0";"0.16"
"13";"tabu";"bic";"5.14009962371276e-08";"100";"0.05";"0";"0.18"
"13";"tabu";"bds";"2.12407065425801e-05";"100";"0.03";"0";"0.13"
"14";"hc";"k2";"7.31455308877749e-07";"100";"0.04";"0";"0.18"
"14";"hc";"aic";"7.09508558915939e-06";"100";"0.03";"0";"0.15"
"14";"hc";"bic";"8.75609891259899e-08";"100";"0.04";"0";"0.16"
"14";"hc";"bds";"2.49645507183205e-06";"100";"0.04";"0";"0.16"
"14";"tabu";"k2";"1.00035973915613e-06";"100";"0.04";"0";"0.15"
"14";"tabu";"aic";"5.23506111427263e-06";"100";"0.05";"0";"0.18"
"14";"tabu";"bic";"5.14009962371276e-08";"100";"0.03";"0";"0.15"
"14";"tabu";"bds";"4.75059222793117e-06";"100";"0.03";"0";"0.14"
"15";"hc";"k2";"3.27602887845169e-06";"100";"0.03";"0";"0.16"
"15";"hc";"aic";"5.02624676046448e-07";"100";"0.04";"0";"0.15"
"15";"hc";"bic";"1.62559996019773e-08";"100";"0.04";"0";"0.17"
"15";"hc";"bds";"3.0521586319443e-07";"100";"0.03";"0";"0.13"
"15";"tabu";"k2";"2.28328744900641e-05";"100";"0.04";"0";"0.17"
"15";"tabu";"aic";"7.99999988476685e-09";"100";"0.03";"0";"0.14"
"15";"tabu";"bic";"1.00100006061865e-09";"100";"0.05";"0";"0.18"
"15";"tabu";"bds";"1.17222300410891e-06";"100";"0.03";"0";"0.14"
"16";"hc";"k2";"9.55180198375372e-06";"100";"0.04";"0";"0.16"
"16";"hc";"aic";"6.89689931832049e-08";"100";"0.04";"0";"0.16"
"16";"hc";"bic";"4.10239974768523e-08";"100";"0.04";"0";"0.15"
"16";"hc";"bds";"1.252941750296e-06";"100";"0.04";"0";"0.17"
"16";"tabu";"k2";"1.60774446418821e-05";"100";"0.04";"0";"0.16"
"16";"tabu";"aic";"7.18288402645761e-07";"100";"0.05";"0";"0.19"
"16";"tabu";"bic";"2.48877541558779e-06";"100";"0.05";"0";"0.18"
"16";"tabu";"bds";"1.33759789200383e-06";"100";"0.04";"0";"0.16"
"17";"hc";"k2";"9.03599052970439e-07";"100";"0.04";"0";"0.17"
"17";"hc";"aic";"2.1671162346304e-06";"100";"0.04";"0";"0.18"
"17";"hc";"bic";"1.16462136224293e-05";"100";"0.03";"0";"0.15"
"17";"hc";"bds";"3.95599788594048e-07";"100";"0.03";"0";"0.15"
"17";"tabu";"k2";"3.09706393167297e-05";"100";"0.04";"0";"0.17"
"17";"tabu";"aic";"2.83360420555434e-06";"100";"0.03";"0";"0.14"
"17";"tabu";"bic";"6.89689931832049e-08";"100";"0.04";"0";"0.16"
"17";"tabu";"bds";"2.01454235426723e-05";"100";"0.04";"0";"0.15"
